Lake,MD-MVM Id,EU id,Stationskoordinat N/X,Stationskoordinat E/Y,Provplatskoordinat N/X,Provplatskoordinat E/Y,Koordinatsystem,Provtagningsmedium,Program,Delprogram,Projekt,Län,Kommun,MS_CD C2,MS_CD C3,ProvId,Date,Year,Month,Day,min_depth,max_depth,Undersökningstyp,Provkommentar,Al,Al_ICP,Al_NA,Al_NAD,Al_s
Spjutsjön,54,SE672467-148031,6722638,524356,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Dalarnas län,Falun,WA42559716,WA42559716,30007,1993-03-29,1993,3,29,2.50,2.50,NA,NA,NA,NA,NA,NA,65.00
Spjutsjön,54,SE672467-148031,6722638,524356,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Dalarnas län,Falun,WA42559716,WA42559716,30009,1993-08-08,1993,8,8,2.00,2.00,NA,NA,NA,NA,NA,NA,45.00
Spjutsjön,54,SE672467-148031,6722638,524356,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Dalarnas län,Falun,WA42559716,WA42559716,30011,1994-02-22,1994,2,22,2.50,2.50,NA,NA,NA,NA,NA,NA,45.00
Spjutsjön,54,SE672467-148031,6722638,524356,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Dalarnas län,Falun,WA42559716,WA42559716,30013,1994-08-01,1994,8,1,2.00,2.00,NA,NA,NA,NA,NA,NA,50.00
Spjutsjön,54,SE672467-148031,6722638,524356,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Dalarnas län,Falun,WA42559716,WA42559716,30015,1995-03-09,1995,3,9,2.50,2.50,NA,NA,NA,NA,NA,NA,60.00
Spjutsjön,54,SE672467-148031,6722638,524356,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Dalarnas län,Falun,WA42559716,WA42559716,30017,1995-08-07,1995,8,7,2.00,2.00,NA,NA,NA,NA,NA,NA,55.00
Spjutsjön,54,SE672467-148031,6722638,524356,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Dalarnas län,Falun,WA42559716,WA42559716,30018,1996-02-29,1996,2,29,2.60,2.60,NA,NA,NA,NA,NA,NA,55.00
Spjutsjön,54,SE672467-148031,6722638,524356,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Dalarnas län,Falun,WA42559716,WA42559716,30022,1997-03-04,1997,3,4,1.00,1.00,NA,NA,NA,NA,NA,NA,125.00
Spjutsjön,54,SE672467-148031,6722638,524356,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Dalarnas län,Falun,WA42559716,WA42559716,30024,1997-08-19,1997,8,19,0.50,0.50,NA,NA,NA,NA,NA,NA,55.00
Spjutsjön,54,SE672467-148031,6722638,524356,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Dalarnas län,Falun,WA42559716,WA42559716,30026,1998-03-04,1998,3,4,0.50,0.50,NA,NA,NA,NA,NA,NA,35.00
Spjutsjön,54,SE672467-148031,6722638,524356,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Dalarnas län,Falun,WA42559716,WA42559716,30027,1998-05-11,1998,5,11,0.50,0.50,NA,NA,NA,NA,NA,NA,45.00
Spjutsjön,54,SE672467-148031,6722638,524356,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Dalarnas län,Falun,WA42559716,WA42559716,30028,1998-08-11,1998,8,11,0.50,0.50,NA,NA,NA,NA,NA,NA,35.00
Spjutsjön,54,SE672467-148031,6722638,524356,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Dalarnas län,Falun,WA42559716,WA42559716,30029,1998-10-13,1998,10,13,0.50,0.50,NA,NA,NA,NA,NA,NA,30.00
