Lake,MD-MVM Id,EU id,Stationskoordinat N/X,Stationskoordinat E/Y,Provplatskoordinat N/X,Provplatskoordinat E/Y,Koordinatsystem,Provtagningsmedium,Program,Delprogram,Projekt,Län,Kommun,MS_CD C2,MS_CD C3,ProvId,Provdatum,Year,Month,Day,min_depth,max_depth,Undersökningstyp,Provkommentar,Al_filt,Al_ICPAES ,Al_ICPKJB,Al_NA,Al_NAD,Al_NI 
Spjutsjön,54,SE672467-148031,6722638,524356,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Dalarnas län,Falun,WA42559716,WA42559716,22518,2010-03-11,2010,3,11,0.5,1.1,NA,NA,NA,79.00,NA,NA,NA,NA
Spjutsjön,54,SE672467-148031,6722638,524356,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Dalarnas län,Falun,WA42559716,WA42559716,22519,2010-05-26,2010,5,26,0.5,1.1,NA,NA,NA,77.00,NA,NA,NA,NA
Spjutsjön,54,SE672467-148031,6722638,524356,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Dalarnas län,Falun,WA42559716,WA42559716,22520,2010-08-10,2010,8,10,0.5,1.1,NA,NA,NA,47.00,NA,NA,NA,NA
Spjutsjön,54,SE672467-148031,6722638,524356,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Dalarnas län,Falun,WA42559716,WA42559716,22521,2010-10-19,2010,10,19,0.5,1.1,NA,NA,NA,55.00,NA,NA,NA,NA
Spjutsjön,54,SE672467-148031,6722638,524356,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Dalarnas län,Falun,WA42559716,WA42559716,22522,2011-02-21,2011,2,21,0.5,1.1,NA,NA,NA,58.00,NA,NA,NA,NA
Spjutsjön,54,SE672467-148031,6722638,524356,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Dalarnas län,Falun,WA42559716,WA42559716,22523,2011-05-19,2011,5,19,0.5,1.1,NA,NA,NA,62.00,NA,NA,NA,NA
Spjutsjön,54,SE672467-148031,6722638,524356,6722638,524356,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Dalarnas län,Falun,WA42559716,WA42559716,278807,2011-08-11,2011,8,11,0.5,1.1,NA,NA,NA,43.00,NA,NA,NA,NA
Spjutsjön,54,SE672467-148031,6722638,524356,6722638,524356,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Dalarnas län,Falun,WA42559716,WA42559716,278806,2011-10-19,2011,10,19,0.5,1.1,NA,NA,NA,52.00,NA,NA,NA,NA
Spjutsjön,54,SE672467-148031,6722638,524356,6722638,524356,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Dalarnas län,Falun,WA42559716,WA42559716,278432,2012-02-21,2012,2,21,0.5,1.1,NA,NA,NA,52.00,NA,NA,NA,NA
Spjutsjön,54,SE672467-148031,6722638,524356,6722638,524356,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Dalarnas län,Falun,WA42559716,WA42559716,278433,2012-05-16,2012,5,16,0.5,1.1,NA,NA,NA,55.00,NA,NA,NA,NA
