"Lake","pH1993","pH2010","pHdiff","SPr93","SPr10","SPrdiff","BCdist","PAdist","beta","Y","X"
"Älgarydssjön",5.91866666666667,5.87888888888889,-0.0397777777777781,30,33,3,0.648361190936184,0.301587301587302,0.301587301587302,6337178,456028
"Älgsjön",6.93066666666667,7.48142857142857,0.550761904761905,57,52,-5,0.642520174815034,0.302752293577982,0.302752293577982,6551428,578455
"Allgjuttern",6.69647058823529,6.59416666666667,-0.102303921568628,49,40,-9,0.691400203217562,0.370786516853933,0.370786516853933,6423441,564895
"Alsjön",5.48666666666667,5.63666666666667,0.15,16,23,7,0.680150095772403,0.487179487179487,0.487179487179487,6466507,353666
"Bäen",6.19875,5.99666666666667,-0.202083333333333,30,38,8,0.650071674366389,0.323529411764706,0.323529411764706,6233634,461425
"Brännträsket",6.72055555555556,6.77777777777778,0.0572222222222223,50,51,1,0.521034006464978,0.267326732673267,0.267326732673267,7282225,796227
"Brunnsjön",6.80014285714286,6.43703703703704,-0.363105820105821,25,48,23,0.999552388166654,0.534246575342466,0.534246575342466,6682080,553654
"Brunnsjön",6.80014285714286,6.43703703703704,-0.363105820105821,25,48,23,0.999552388166654,0.534246575342466,0.534246575342466,6272787,544705
"Bysjön",7.0624,6.98222222222222,-0.0801777777777781,53,55,2,0.98581678951368,0.37037037037037,0.37037037037037,6576747,348540
"Bysjön",7.0624,6.98222222222222,-0.0801777777777781,53,55,2,0.98581678951368,0.37037037037037,0.37037037037037,6678613,498194
"Bysjön",7.0624,6.98222222222222,-0.0801777777777781,53,55,2,0.98581678951368,0.37037037037037,0.37037037037037,6170905,408491
"Edasjön",7.44625,7.55333333333333,0.107083333333333,59,46,-13,0.913924251667667,0.447619047619048,0.447619047619048,6633334,662893
"Ekholmssjön",7.14857142857143,7.27444444444444,0.125873015873016,50,53,3,0.679487945646049,0.320388349514563,0.320388349514563,6638162,614324
"Fagertärn",6.16125,6.31444444444444,0.153194444444445,30,47,17,0.497061481078969,0.350649350649351,0.350649350649351,6513117,482808
"Fjärasjö",7.04333333333333,6.89666666666667,-0.146666666666667,51,58,7,0.7371905429806,0.321100917431193,0.321100917431193,6385218,514896
"Fräcksjön",6.29888888888889,6.48944444444444,0.190555555555556,54,54,0,0.654190692369846,0.277777777777778,0.277777777777778,6448672,334101
"Fysingen",8.04428571428571,8.02,-0.024285714285714,55,58,3,0.486022287864399,0.327433628318584,0.327433628318584,6607195,664270
"Galten",7.82315789473684,7.47388888888889,-0.349269005847954,64,101,37,0.844453656793644,0.418181818181818,0.418181818181818,6590333,567347
"Gipsjön",5.59666666666667,5.71888888888889,0.122222222222222,20,22,2,0.404357177973661,0.380952380952381,0.380952380952381,6724037,424887
"Gosjön",6.48444444444444,6.48777777777778,0.00333333333333297,48,49,1,0.68235141825784,0.319587628865979,0.319587628865979,6774007,605132
"Grissjön",5.54722222222222,6.07888888888889,0.531666666666666,20,30,10,0.445843862328695,0.56,0.56,6513623,508222
"Hagasjön",6.36875,6.64777777777778,0.279027777777777,51,52,1,0.525948807120262,0.281553398058252,0.281553398058252,6355662,422434
"Hagasjön",6.36875,6.64777777777778,0.279027777777777,51,52,1,0.525948807120262,0.281553398058252,0.281553398058252,6377762,404820
"Hällsjön",6.48888888888889,6.6675,0.178611111111111,43,103,60,0.999263321424805,0.493150684931507,0.493150684931507,6669695,540709
"Harasjön",5.41466666666667,5.74333333333333,0.328666666666667,16,13,-3,0.743178192730543,0.655172413793103,0.655172413793103,6319106,413711
"Havgårdssjön",8.13428571428572,8.30578947368421,0.171503759398496,64,97,33,0.597570635643632,0.453416149068323,0.453416149068323,6150322,396176
"Hinnasjön",6.23222222222222,6.48,0.247777777777778,52,51,-1,0.763867201443949,0.378640776699029,0.378640776699029,6303819,495647
"Hjärtsjön",5.25444444444444,5.84666666666667,0.592222222222222,17,29,12,0.826684791973447,0.478260869565217,0.478260869565217,6323148,515611
"Holmeshultasjön",7.09888888888889,7.02888888888889,-0.0700000000000003,56,66,10,0.79443712812523,0.39344262295082,0.39344262295082,6342144,488886
"Humsjön",6.88764705882353,6.87111111111111,-0.0165359477124181,55,59,4,0.882380525306465,0.385964912280702,0.385964912280702,6497994,469555
"Jutsajaure",6.70529411764706,6.8,0.0947058823529412,44,43,-1,0.517120469620559,0.402298850574713,0.402298850574713,7446496,714847
"Krankesjön",8.00285714285714,8.39111111111111,0.388253968253968,57,85,28,0.842861578770603,0.408450704225352,0.408450704225352,6174721,404038
"Långsjön",6.64014925373134,7.00634615384615,0.366196900114811,62,118,56,0.935717664545006,0.433333333333333,0.433333333333333,6521667,483884
"Långsjön",6.64014925373134,7.00634615384615,0.366196900114811,62,118,56,0.935717664545006,0.433333333333333,0.433333333333333,6733960,577702
"Långsjön",6.64014925373134,7.00634615384615,0.366196900114811,62,118,56,0.935717664545006,0.433333333333333,0.433333333333333,6565903,688317
"Långsjön",6.64014925373134,7.00634615384615,0.366196900114811,62,118,56,0.935717664545006,0.433333333333333,0.433333333333333,6842777,604102
"Limmingsjön",6.92,6.92555555555556,0.00555555555555554,40,47,7,0.732267337147537,0.310344827586207,0.310344827586207,6605422,472916
"Mäsen",7.02333333333333,7.15333333333333,0.13,54,57,3,0.483566426718946,0.387387387387387,0.387387387387387,6654684,536934
"Örsjön",6.43545454545455,6.73357142857143,0.298116883116883,35,50,15,0.548721986192706,0.317647058823529,0.317647058823529,6237996,480506
"Örsjön",6.43545454545455,6.73357142857143,0.298116883116883,35,50,15,0.548721986192706,0.317647058823529,0.317647058823529,6633958,674803
"Översjön",5.99111111111111,6.20375,0.212638888888888,27,51,24,0.917668299274715,0.512820512820513,0.512820512820513,6640666,407015
"Överudssjön",7.189,6.91444444444444,-0.274555555555556,52,70,18,0.869475348206363,0.459016393442623,0.459016393442623,6587380,385573
"Rammsjön",5.17111111111111,5.17888888888889,0.00777777777777811,9,32,23,0.51951061380111,0.658536585365854,0.658536585365854,6292542,403889
"Remmarsjön",6.34833333333333,6.49666666666667,0.148333333333333,37,42,5,0.595196306126088,0.341772151898734,0.341772151898734,7085765,660807
"Rotehogstjärnen",5.5465625,5.46611111111111,-0.0804513888888891,32,35,3,0.67907159748891,0.253731343283582,0.253731343283582,6524402,304388
"Rundbosjön",7.51428571428571,7.352,-0.162285714285714,58,56,-2,0.668650567749706,0.421052631578947,0.421052631578947,6521160,636846
"Sännen",6.17933333333333,6.34333333333333,0.164000000000001,38,48,10,0.677810951632706,0.395348837209302,0.395348837209302,6242312,522150
"Skärgölen",6.67086956521739,6.56666666666667,-0.104202898550724,45,58,13,0.88542680107594,0.359223300970874,0.359223300970874,6404286,534623
"Skärgölen",6.67086956521739,6.56666666666667,-0.104202898550724,45,58,13,0.88542680107594,0.359223300970874,0.359223300970874,6514333,571374
"Spjutsjön",6.95666666666667,6.90555555555556,-0.0511111111111111,39,46,7,0.64626657650757,0.341176470588235,0.341176470588235,6722638,524356
"St Skärsjön",6.8025,6.74324324324324,-0.0592567567567572,74,72,-2,0.5396896987213,0.301369863013699,0.301369863013699,6282493,381448
"St. Lummersjön",6.47555555555556,6.56777777777778,0.0922222222222224,25,36,11,0.684424765601158,0.442622950819672,0.442622950819672,6441770,447338
"Stensjön",6.71535714285714,6.68117647058824,-0.0341806722689073,70,71,1,0.540658605708235,0.319148936170213,0.319148936170213,6440558,528262
"Stensjön",6.71535714285714,6.68117647058824,-0.0341806722689073,70,71,1,0.540658605708235,0.319148936170213,0.319148936170213,6835394,583469
"Stensjön",6.71535714285714,6.68117647058824,-0.0341806722689073,70,71,1,0.540658605708235,0.319148936170213,0.319148936170213,6564214,689977
"Stensjön",6.71535714285714,6.68117647058824,-0.0341806722689073,70,71,1,0.540658605708235,0.319148936170213,0.319148936170213,7164408,481300
"Stora Envättern",6.57055555555556,6.40342857142857,-0.167126984126985,63,57,-6,0.478046944821235,0.35,0.35,6555227,634745
"Stora Tresticklan",4.86333333333333,6.92333333333333,2.06,17,16,-1,0.546676302716958,0.454545454545455,0.454545454545455,6547594,315641
"Storasjö",5.70666666666667,5.93222222222222,0.225555555555555,29,42,13,0.655679258896097,0.436619718309859,0.436619718309859,6311612,516497
"Svartesjön",4.77444444444444,4.97888888888889,0.204444444444444,9,10,1,0.831504315772138,0.157894736842105,0.157894736842105,6302132,392431
"Svinarydsjön",6.24111111111111,6.62,0.378888888888889,25,44,19,0.953387865037934,0.536231884057971,0.536231884057971,6225833,496102
"Tångerdasjön",7.74571428571429,7.29111111111111,-0.454603174603174,50,67,17,0.920139573333687,0.487179487179487,0.487179487179487,6369038,503572
"Tängersjö",6.82,6.59777777777778,-0.222222222222222,47,60,13,0.705444002900744,0.308411214953271,0.308411214953271,6369742,561955
"Tärnan",7.34555555555556,7.20066666666667,-0.144888888888889,58,68,10,0.786888042532589,0.365079365079365,0.365079365079365,6606900,690200
"Tomeshultagölen",5.48111111111111,5.71555555555556,0.234444444444445,9,18,9,0.900287880740303,0.62962962962963,0.62962962962963,6288378,524888
"Tväringen",6.72125,6.89333333333333,0.172083333333333,50,50,0,0.710960516685141,0.4,0.4,6901492,534982
"Ulvsjön",6.44444444444444,6.43888888888889,-0.00555555555555554,30,47,17,0.592198496009906,0.376623376623377,0.376623376623377,6611064,347304
"Vuolgamjaure",6.895,6.93,0.0350000000000001,38,48,10,0.677112863804699,0.27906976744186,0.27906976744186,7287010,663453
"Ymsen",8.018125,7.58,-0.438124999999999,98,109,11,0.785358779630244,0.410628019323671,0.410628019323671,6500984,438132
